MyBusiness;;;;;;
"
                    Codice
                  ";"
                    Tipo
                  ";"
                    Prodotto
                  ";"
                    Categoria
                  ";"
                    PV Medio
                  ";"
                    Resa
                  ";"
                    Ub.
                  "
STARTER_62;Ricetta;SIAMO FRITTI;STARTER;13,6;1;pz
COCKTAILS_23;Ricetta;SI SALVIA CHI PUO';ZZZ ARCHIVIO BEVERAGE;0;1;pz
BEER_TOUR_6;Ricetta;SHOT ZINGI ALE;BEER TOUR 🍻;0;1;pz
BEER_TOUR_21;Ricetta;SHOT WEST IPA;BEER TOUR 🍻;0;1;pz
BEER_TOUR_1;Ricetta;SHOT ULTRA PILS;BEER TOUR 🍻;0;1;pz
BEER_TOUR_13;Ricetta;SHOT SUPER CHIARA;BEER TOUR 🍻;0;1;pz
BEER_TOUR_23;Ricetta;SHOT SUPER BLANCHE;BEER TOUR 🍻;0;1;pz
BEER_TOUR_3;Ricetta;SHOT SUMMER IPA;BEER TOUR 🍻;2,25;1;pz
BEER_TOUR_25;Ricetta;SHOT SUMMER ALCOOL FREE;BEER TOUR 🍻;2,5;1;pz
BEER_TOUR_9;Ricetta;SHOT SEXY IPA;BEER TOUR 🍻;0;1;pz
BEER_TOUR_19;Ricetta;SHOT REGINA;BEER TOUR 🍻;2,25;1;pz
BEER_TOUR_14;Ricetta;SHOT 'O SOLE MIO;BEER TOUR 🍻;0;1;pz
BEER_TOUR_22;Ricetta;SHOT MAGNUS;BEER TOUR 🍻;0;1;pz
BEER_TOUR_2;Ricetta;SHOT IPER WEISS;BEER TOUR 🍻;2,25;1;pz
BEER_TOUR_11;Ricetta;SHOT IMPERIALE;BEER TOUR 🍻;0;1;pz
BEER_TOUR_5;Ricetta;SHOT HONEY IPA;BEER TOUR 🍻;0;1;pz
BEER_TOUR_4;Ricetta;SHOT EXTRA BITTER;BEER TOUR 🍻;2,25;1;pz
BEER_TOUR_8;Ricetta;SHOT COCOA IPA;BEER TOUR 🍻;0;1;pz
BEER_TOUR_24;Ricetta;SHOT CHIARA ALCOOL FREE;BEER TOUR 🍻;2,5;1;pz
BEER_TOUR_12;Ricetta;SHOT BLACK STOUT;BEER TOUR 🍻;0;1;pz
COCKTAILS_34;Ricetta;SHOT BELVEDERE;ZZZ ARCHIVIO BEVERAGE;4;1;pz
BEER_TOUR_7;Ricetta;SHOT BELLA ROSSA;BEER TOUR 🍻;0;1;pz
BEER_TOUR_10;Ricetta;SHOT + CHE ROSSA;BEER TOUR 🍻;0;1;pz
MERCHANDISING_12;Ricetta;SHOPPER VERDE;MERCHANDISING;8;1;pz
MERCHANDISING_14;Ricetta;SHOPPER FUCSIA;MERCHANDISING;8;1;pz
MERCHANDISING_5;Prodotto;SHOPPER DM IN TELA;ZZZ ARCHIVIO FOOD;10;1;pz
MERCHANDISING_13;Ricetta;SHOPPER BEIGE;MERCHANDISING;6,4;1;pz
PACKAGING_5;Ricetta;SHOPPER ASPORTO;PACKAGING;0;1;pz
VARIANTI_SALSE_+_36;Ricetta;SEXY SAUCE CIOTOLINA;SALSE;1,12;1;pz
BOTTIGLIE_3;Ricetta;SEXY IPA BOTTIGLIA;BOTTIGLIE 🍾;3;1;pz
COCKTAILS_12;Ricetta;SEX ON THE BEACH;COCKTAILS 🍸;7;1;pz
COPERTI_9;Prodotto;SERVIZIO TORTA;COPERTI;2;1;pz
COPERTI_4;Ricetta;SERVIZIO PRANZO;MENU PRANZO;2;1;pz
SCELTA_BEVERAGE_TORNEO;Prodotto;SERVIZIO DRINK TORNEO;COPERTI;6;1;pz
COPERTI_2;Prodotto;SERVIZIO DRINK;COPERTI;0;1;pz
COPERTI_42;Ricetta;SERVIZIO CREMONINI;COPERTI;136;1;pz
COPERTI_1;Ricetta;SERVIZIO;COPERTI;2;1;pz
VARIANTI BEVERAGE_11;Ricetta;SENZA SCHIUMA;VARIANTI BEVERAGE;0;1;pz
SALSE_3;Ricetta;SENAPE IN BARATTOLO;ZZZ ARCHIVIO FOOD;1;1;pz
SALSE_7;Ricetta;SENAPE CIOTOLINA;ZZZ ARCHIVIO FOOD;0;1;pz
STARTER_42;Ricetta;SCOTTADITO DI MAIALE;ZZZ ARCHIVIO FOOD;6,8;1;pz
MBR_000089;Ricetta;SCONTRINI;COPERTI;0;1;nr
SCELTA_SECONDO_DRINK_FESTE;Prodotto;SCELTA SECONDO DRINK FESTE;MENU';0;1;pz
SCELTA_POKE _INSALATA;Prodotto;SCELTA POKE INSALATA;CAFFETTERIA;0;1;pz
SCLETA_CONTORNO_PROMO_DRINK;Prodotto;SCELTA CONTORNO PROMO DRINK;MENU;3;1;pz
SCELTA_BEVANDE_MENU_FESTE;Prodotto;SCELTA BEVANDE MENU FESTE;MENU';0;1;pz
COCKTAILS_32;Ricetta;SCEICCO;ZZZ ARCHIVIO BEVERAGE;7;1;pz
BOTTIGLIE_13;Ricetta;SC GLUTEN FREE ASPORTO;BOTTIGLIE 🍾;2;1;pz
BOTTIGLIE_9;Ricetta;SC GLUTEN FREE;BOTTIGLIE 🍾;3;1;pz
DESSERT_35;Ricetta;SBRISOLONA NEW 11/24;ZZZ ARCHIVIO FOOD;0;1;pz
DESSERT_10;Ricetta;SBRISOLONA;ZZZ ARCHIVIO FOOD;5,2;1;pz
GELATI_40;Prodotto;SANSONI;SOFT DRINK;3;1;pz
AMARI_7;Ricetta;SAMBUCA;AMARI;4;1;pz
VARIANTI_SALSE_+_35;Ricetta;SALSA CHEDDAR CIOTOLINA;VARIANTI SALSE +;2,8;1;pz
VARIANTI_SALSE_+_34;Ricetta;SALSA BBQ BIANCA CIOTOLINA;VARIANTI FOOD +;1,4;1;pz
VARIANTI_SALSE_+_33;Ricetta;SALSA ALLA BIRRA CIOTOLINA;VARIANTI SALSE +;1,4;1;pz
